"BIN","AT_CG_AAA(TTT)","AT_CG_AAC(GTT)","AT_CG_AAG(CTT)","AT_CG_AAT(ATT)","AT_CG_CAA(TTG)","AT_CG_CAC(GTG)","AT_CG_CAG(CTG)","AT_CG_CAT(ATG)","AT_CG_GAA(TTC)","AT_CG_GAC(GTC)","AT_CG_GAG(CTC)","AT_CG_GAT(ATC)","AT_CG_TAA(TTA)","AT_CG_TAC(GTA)","AT_CG_TAG(CTA)","AT_CG_TAT(ATA)","AT_GC_AAA(TTT)","AT_GC_AAC(GTT)","AT_GC_AAG(CTT)","AT_GC_AAT(ATT)","AT_GC_CAA(TTG)","AT_GC_CAC(GTG)","AT_GC_CAG(CTG)","AT_GC_CAT(ATG)","AT_GC_GAA(TTC)","AT_GC_GAC(GTC)","AT_GC_GAG(CTC)","AT_GC_GAT(ATC)","AT_GC_TAA(TTA)","AT_GC_TAC(GTA)","AT_GC_TAG(CTA)","AT_GC_TAT(ATA)","AT_TA_AAA(TTT)","AT_TA_AAC(GTT)","AT_TA_AAG(CTT)","AT_TA_AAT(ATT)","AT_TA_CAA(TTG)","AT_TA_CAC(GTG)","AT_TA_CAG(CTG)","AT_TA_CAT(ATG)","AT_TA_GAA(TTC)","AT_TA_GAC(GTC)","AT_TA_GAG(CTC)","AT_TA_GAT(ATC)","AT_TA_TAA(TTA)","AT_TA_TAC(GTA)","AT_TA_TAG(CTA)","AT_TA_TAT(ATA)","GC_AT_ACA(TGT)","GC_AT_ACC(GGT)","GC_AT_ACG(CGT)","GC_AT_ACT(AGT)","GC_AT_CCA(TGG)","GC_AT_CCC(GGG)","GC_AT_CCG(CGG)","GC_AT_CCT(AGG)","GC_AT_GCA(TGC)","GC_AT_GCC(GGC)","GC_AT_GCG(CGC)","GC_AT_GCT(AGC)","GC_AT_TCA(TGA)","GC_AT_TCC(GGA)","GC_AT_TCG(CGA)","GC_AT_TCT(AGA)","GC_CG_ACA(TGT)","GC_CG_ACC(GGT)","GC_CG_ACG(CGT)","GC_CG_ACT(AGT)","GC_CG_CCA(TGG)","GC_CG_CCC(GGG)","GC_CG_CCG(CGG)","GC_CG_CCT(AGG)","GC_CG_GCA(TGC)","GC_CG_GCC(GGC)","GC_CG_GCG(CGC)","GC_CG_GCT(AGC)","GC_CG_TCA(TGA)","GC_CG_TCC(GGA)","GC_CG_TCG(CGA)","GC_CG_TCT(AGA)","GC_TA_ACA(TGT)","GC_TA_ACC(GGT)","GC_TA_ACG(CGT)","GC_TA_ACT(AGT)","GC_TA_CCA(TGG)","GC_TA_CCC(GGG)","GC_TA_CCG(CGG)","GC_TA_CCT(AGG)","GC_TA_GCA(TGC)","GC_TA_GCC(GGC)","GC_TA_GCG(CGC)","GC_TA_GCT(AGC)","GC_TA_TCA(TGA)","GC_TA_TCC(GGA)","GC_TA_TCG(CGA)","GC_TA_TCT(AGA)"
1,5,1,2,2,3,0,0,1,2,2,2,1,2,0,1,1,7,5,1,4,3,6,4,8,4,3,4,3,2,5,4,16,2,0,2,1,0,1,1,3,0,1,1,3,0,0,1,2,12,5,16,5,3,9,6,7,7,6,14,2,3,5,7,7,5,2,0,1,1,0,0,3,2,1,0,1,6,1,0,2,2,1,0,1,1,4,0,3,1,2,0,1,3,0,0,2
2,5,3,3,10,5,5,4,3,2,1,0,1,1,0,2,2,14,9,5,29,7,7,12,22,9,5,6,8,7,9,13,35,5,4,2,2,1,4,1,8,2,4,0,2,5,1,3,9,35,15,35,15,13,10,23,17,15,16,20,13,17,16,31,20,10,1,1,11,6,2,0,3,5,2,0,8,5,5,2,6,10,9,2,9,3,7,1,5,9,5,1,1,4,2,1,11
3,7,0,0,5,5,1,6,4,1,3,7,3,3,1,0,5,12,10,8,19,9,9,11,15,6,1,12,12,11,6,6,23,0,4,3,4,3,3,6,3,1,4,4,3,4,2,1,0,21,14,32,23,22,17,40,21,18,11,29,18,17,18,28,20,4,4,1,6,4,3,1,3,3,4,2,7,3,6,4,5,6,10,4,2,3,5,1,2,6,2,2,4,6,9,2,10
4,6,0,2,2,4,1,4,7,5,3,4,3,1,0,2,4,6,4,10,16,12,10,9,22,4,3,6,10,5,6,9,15,2,3,3,1,3,2,2,4,0,0,5,7,0,0,3,2,21,18,44,10,26,20,59,22,17,17,50,9,12,21,31,11,3,2,0,5,7,7,3,7,5,2,4,3,5,5,0,10,4,11,0,4,10,6,3,1,8,4,4,4,0,3,3,7
5,2,2,1,6,6,4,3,6,2,2,3,1,3,0,1,2,16,7,7,26,11,12,16,21,6,5,5,5,12,9,10,29,5,1,1,3,2,2,2,3,1,1,1,3,9,2,1,3,37,7,37,16,24,13,40,16,10,14,29,16,13,10,27,12,2,6,1,5,4,2,2,8,2,8,2,5,4,4,3,11,3,10,2,1,5,1,2,2,6,7,7,2,3,2,0,3
6,10,2,0,2,9,4,8,5,1,1,7,2,2,1,1,0,8,13,8,21,13,11,12,25,7,1,8,9,10,8,7,26,6,2,5,4,2,3,4,1,3,3,3,3,2,2,2,3,23,13,38,8,16,21,35,17,16,23,37,12,15,17,28,15,7,1,1,5,5,6,1,10,3,6,7,4,4,5,2,7,6,5,3,2,7,6,2,5,6,10,4,3,3,3,3,3
7,4,2,3,5,3,2,6,2,5,0,2,2,0,1,1,1,4,6,12,19,4,10,11,14,6,5,9,6,8,4,4,19,4,2,1,3,0,3,0,3,0,3,1,4,4,0,1,3,14,19,35,11,17,33,37,20,14,21,40,21,11,21,31,13,8,2,4,8,2,10,3,6,8,3,3,9,6,5,5,8,3,8,3,5,3,8,3,3,9,3,3,9,3,6,0,4
8,7,0,1,4,5,1,3,6,2,1,3,1,2,1,1,1,15,11,7,19,14,11,13,20,7,3,12,7,8,7,7,22,4,3,3,0,2,0,3,5,2,3,2,5,6,2,1,2,14,15,45,11,18,17,50,23,9,17,34,10,14,20,42,18,7,3,1,3,3,7,2,2,1,3,1,6,2,4,0,6,7,8,0,3,10,6,3,3,7,6,3,3,4,5,4,7
9,3,2,4,4,2,6,6,2,2,3,3,1,0,1,0,2,8,6,5,13,8,5,15,12,5,7,6,11,5,7,2,15,2,1,0,3,1,4,5,7,2,3,2,5,2,0,3,1,26,10,32,12,19,13,46,21,12,32,31,10,6,17,30,13,2,8,1,8,2,4,2,5,2,6,1,5,6,9,2,9,8,10,1,3,5,2,6,9,4,5,4,3,3,9,2,1
10,4,2,2,5,2,1,2,5,3,2,1,4,1,0,2,1,11,11,1,15,5,6,10,18,10,3,3,9,8,6,11,17,4,0,3,3,3,2,3,3,1,6,2,4,2,2,3,1,24,12,38,12,18,27,39,22,14,16,36,17,22,25,33,15,6,5,2,4,6,8,4,6,2,7,0,4,5,10,1,5,3,8,4,1,5,9,2,3,8,3,2,3,5,4,0,10
