"BIN","AT_CG_AAA(TTT)","AT_CG_AAC(GTT)","AT_CG_AAG(CTT)","AT_CG_AAT(ATT)","AT_CG_CAA(TTG)","AT_CG_CAC(GTG)","AT_CG_CAG(CTG)","AT_CG_CAT(ATG)","AT_CG_GAA(TTC)","AT_CG_GAC(GTC)","AT_CG_GAG(CTC)","AT_CG_GAT(ATC)","AT_CG_TAA(TTA)","AT_CG_TAC(GTA)","AT_CG_TAG(CTA)","AT_CG_TAT(ATA)","AT_GC_AAA(TTT)","AT_GC_AAC(GTT)","AT_GC_AAG(CTT)","AT_GC_AAT(ATT)","AT_GC_CAA(TTG)","AT_GC_CAC(GTG)","AT_GC_CAG(CTG)","AT_GC_CAT(ATG)","AT_GC_GAA(TTC)","AT_GC_GAC(GTC)","AT_GC_GAG(CTC)","AT_GC_GAT(ATC)","AT_GC_TAA(TTA)","AT_GC_TAC(GTA)","AT_GC_TAG(CTA)","AT_GC_TAT(ATA)","AT_TA_AAA(TTT)","AT_TA_AAC(GTT)","AT_TA_AAG(CTT)","AT_TA_AAT(ATT)","AT_TA_CAA(TTG)","AT_TA_CAC(GTG)","AT_TA_CAG(CTG)","AT_TA_CAT(ATG)","AT_TA_GAA(TTC)","AT_TA_GAC(GTC)","AT_TA_GAG(CTC)","AT_TA_GAT(ATC)","AT_TA_TAA(TTA)","AT_TA_TAC(GTA)","AT_TA_TAG(CTA)","AT_TA_TAT(ATA)","GC_AT_ACA(TGT)","GC_AT_ACC(GGT)","GC_AT_ACG(CGT)","GC_AT_ACT(AGT)","GC_AT_CCA(TGG)","GC_AT_CCC(GGG)","GC_AT_CCG(CGG)","GC_AT_CCT(AGG)","GC_AT_GCA(TGC)","GC_AT_GCC(GGC)","GC_AT_GCG(CGC)","GC_AT_GCT(AGC)","GC_AT_TCA(TGA)","GC_AT_TCC(GGA)","GC_AT_TCG(CGA)","GC_AT_TCT(AGA)","GC_CG_ACA(TGT)","GC_CG_ACC(GGT)","GC_CG_ACG(CGT)","GC_CG_ACT(AGT)","GC_CG_CCA(TGG)","GC_CG_CCC(GGG)","GC_CG_CCG(CGG)","GC_CG_CCT(AGG)","GC_CG_GCA(TGC)","GC_CG_GCC(GGC)","GC_CG_GCG(CGC)","GC_CG_GCT(AGC)","GC_CG_TCA(TGA)","GC_CG_TCC(GGA)","GC_CG_TCG(CGA)","GC_CG_TCT(AGA)","GC_TA_ACA(TGT)","GC_TA_ACC(GGT)","GC_TA_ACG(CGT)","GC_TA_ACT(AGT)","GC_TA_CCA(TGG)","GC_TA_CCC(GGG)","GC_TA_CCG(CGG)","GC_TA_CCT(AGG)","GC_TA_GCA(TGC)","GC_TA_GCC(GGC)","GC_TA_GCG(CGC)","GC_TA_GCT(AGC)","GC_TA_TCA(TGA)","GC_TA_TCC(GGA)","GC_TA_TCG(CGA)","GC_TA_TCT(AGA)"
1,0.0015,8e-04,0.0013,0.001,0.0019,0,0,6e-04,0.0012,0.0027,0.0017,8e-04,0.0012,0,8e-04,6e-04,0.0021,0.0041,6e-04,0.0019,0.0019,0.0054,0.0026,0.0049,0.0024,0.0041,0.0033,0.0025,0.0012,0.0055,0.0034,0.0089,6e-04,0,0.0013,5e-04,0,9e-04,7e-04,0.0018,0,0.0014,8e-04,0.0025,0,0,8e-04,0.0011,0.0071,0.0054,0.1404,0.004,0.002,0.0097,0.0566,0.0056,0.0062,0.0079,0.175,0.0018,0.0019,0.0044,0.0583,0.0036,0.003,0.0022,0,8e-04,7e-04,0,0,0.0024,0.0018,0.0013,0,9e-04,0.0037,9e-04,0,0.001,0.0012,0.0011,0,8e-04,7e-04,0.0043,0,0.0024,9e-04,0.0026,0,9e-04,0.0019,0,0,0.001
2,6e-04,0.001,7e-04,0.0019,0.0012,0.0018,0.0011,8e-04,5e-04,5e-04,0,4e-04,2e-04,0,7e-04,4e-04,0.0017,0.0029,0.0012,0.0054,0.0017,0.0025,0.0034,0.0056,0.0021,0.0027,0.002,0.0028,0.0016,0.0038,0.0046,0.0075,6e-04,0.0013,5e-04,4e-04,2e-04,0.0014,3e-04,0.002,5e-04,0.0022,0,7e-04,0.0012,4e-04,0.0011,0.0019,0.0082,0.0067,0.0893,0.0047,0.0038,0.0045,0.071,0.0051,0.0055,0.0083,0.0658,0.0053,0.0042,0.0054,0.0833,0.0044,0.0024,4e-04,0.0026,0.0034,0.0017,9e-04,0,9e-04,0.0018,0.001,0,0.0032,0.0012,0.0017,0.0054,0.0013,0.0024,0.004,0.0051,0.0028,9e-04,0.0032,0.0031,0.0015,0.0033,0.0026,0.0033,4e-04,0.001,7e-04,0.0027,0.0024
3,0.001,0,0,0.0012,0.0014,3e-04,0.0014,0.0012,3e-04,0.0016,0.0017,0.0011,9e-04,5e-04,0,0.0015,0.0017,0.0037,0.0021,0.0045,0.0025,0.0028,0.0025,0.0045,0.0016,5e-04,0.003,0.0045,0.0032,0.003,0.0026,0.0068,0,0.0015,8e-04,9e-04,8e-04,9e-04,0.0014,9e-04,3e-04,0.0021,0.001,0.0011,0.0012,0.001,4e-04,0,0.0058,0.0055,0.049,0.0075,0.0053,0.0054,0.0444,0.0051,0.0059,0.0036,0.0359,0.006,0.0045,0.0051,0.0465,0.0046,0.0011,0.0016,0.0015,0.002,0.001,9e-04,0.0011,7e-04,0.001,0.0013,0.0025,0.0023,8e-04,0.0017,0.0066,0.0011,0.0017,0.0039,0.0061,7e-04,7e-04,0.0016,0.0011,5e-04,0.002,7e-04,0.0025,0.0013,0.0016,0.0025,0.0033,0.0023
4,0.0011,0,6e-04,7e-04,0.0013,3e-04,8e-04,0.0024,0.0016,0.0013,9e-04,0.0013,4e-04,0,0.001,0.002,0.0011,0.0017,0.0029,0.0056,0.0038,0.0026,0.0017,0.0076,0.0013,0.0013,0.0013,0.0042,0.0021,0.0034,0.0043,0.0075,4e-04,0.0013,9e-04,3e-04,0.001,5e-04,4e-04,0.0014,0,0,0.0011,0.003,0,0,0.0014,0.001,0.006,0.0061,0.0581,0.0033,0.0056,0.0046,0.0409,0.0046,0.0052,0.0042,0.0386,0.0025,0.0032,0.0054,0.0413,0.0027,9e-04,7e-04,0,0.0017,0.0015,0.0016,0.0021,0.0015,0.0015,5e-04,0.0031,8e-04,0.0013,0.0013,0,0.0025,0.0011,0.0038,0,0.0013,0.0022,0.0014,0.0021,2e-04,0.0024,0.001,0.0031,0.0011,0,8e-04,0.004,0.0017
5,3e-04,7e-04,3e-04,0.0015,0.0016,0.0012,6e-04,0.0019,6e-04,0.001,8e-04,4e-04,9e-04,0,4e-04,7e-04,0.0023,0.0026,0.0019,0.0065,0.003,0.0036,0.0033,0.0067,0.0018,0.0024,0.0013,0.0021,0.0035,0.0039,0.0043,0.0095,7e-04,4e-04,3e-04,7e-04,5e-04,6e-04,4e-04,0.001,3e-04,5e-04,3e-04,0.0013,0.0026,9e-04,4e-04,0.001,0.0097,0.0026,0.0516,0.0049,0.0057,0.004,0.0478,0.0039,0.0031,0.0043,0.0361,0.0049,0.0035,0.0031,0.0429,0.003,5e-04,0.0022,0.0014,0.0015,0.001,6e-04,0.0024,0.0019,6e-04,0.0025,0.0025,0.0015,0.0011,0.0012,0.0048,0.0028,8e-04,0.0037,0.0028,3e-04,0.0012,3e-04,0.0024,5e-04,0.0019,0.0021,0.0087,6e-04,8e-04,6e-04,0,8e-04
6,0.0016,8e-04,0,6e-04,0.0026,0.0011,0.0016,0.0015,3e-04,5e-04,0.0016,8e-04,7e-04,5e-04,4e-04,0,0.0013,0.005,0.0022,0.0058,0.0038,0.0032,0.0024,0.0077,0.0021,5e-04,0.0019,0.0037,0.0033,0.0039,0.0031,0.0092,0.001,8e-04,0.0014,0.0011,6e-04,9e-04,8e-04,3e-04,9e-04,0.0014,7e-04,0.0012,7e-04,0.001,9e-04,0.0011,0.006,0.0047,0.0633,0.0026,0.0036,0.0057,0.0428,0.0038,0.0051,0.0068,0.0482,0.0036,0.004,0.0048,0.0471,0.0035,0.0018,4e-04,0.0017,0.0016,0.0011,0.0016,0.0012,0.0022,0.001,0.0018,0.0091,0.0012,0.0011,0.0014,0.0034,0.0016,0.0016,0.0018,0.005,6e-04,0.0016,0.0016,0.0024,0.0011,0.0019,0.0029,0.0052,9e-04,8e-04,8e-04,0.0051,7e-04
7,9e-04,8e-04,8e-04,0.0017,9e-04,5e-04,0.0011,6e-04,0.0015,0,4e-04,9e-04,0,6e-04,5e-04,5e-04,9e-04,0.0025,0.0033,0.0065,0.0012,0.0027,0.0021,0.0045,0.0018,0.0022,0.002,0.0026,0.0033,0.0025,0.002,0.0089,9e-04,8e-04,3e-04,0.001,0,8e-04,0,0.001,0,0.0013,2e-04,0.0017,0.0017,0,5e-04,0.0014,0.004,0.0066,0.0525,0.0038,0.0035,0.0066,0.0323,0.0041,0.0041,0.0053,0.0376,0.0059,0.003,0.0051,0.0518,0.0031,0.0023,7e-04,0.006,0.0027,4e-04,0.002,0.0026,0.0012,0.0024,8e-04,0.0028,0.0025,0.0017,0.0012,0.0083,0.0019,9e-04,0.0028,0.0045,0.0017,6e-04,0.0016,0.0026,6e-04,0.0026,8e-04,0.0028,0.0025,8e-04,0.0015,0,0.001
8,0.0011,0,3e-04,0.0011,0.0014,3e-04,6e-04,0.002,6e-04,5e-04,7e-04,4e-04,6e-04,5e-04,5e-04,4e-04,0.0023,0.0041,0.0018,0.0052,0.004,0.0033,0.0026,0.0068,0.002,0.0014,0.0028,0.0029,0.0025,0.0038,0.0032,0.0082,6e-04,0.0011,8e-04,0,6e-04,0,6e-04,0.0017,6e-04,0.0014,5e-04,0.0021,0.0019,0.0011,5e-04,7e-04,0.0039,0.0053,0.0727,0.0036,0.0041,0.0046,0.0579,0.0049,0.0028,0.005,0.0452,0.0031,0.0039,0.0054,0.0658,0.0042,0.002,0.0011,0.0016,0.001,7e-04,0.0019,0.0023,4e-04,3e-04,9e-04,0.0013,0.0019,6e-04,0.0011,0,0.0014,0.002,0.0028,0,0.001,0.0023,0.0016,0.0035,6e-04,0.0022,0.0018,0.004,9e-04,0.0011,0.0014,0.0063,0.0016
9,6e-04,9e-04,0.0011,0.0014,6e-04,0.0016,0.0011,6e-04,6e-04,0.0013,7e-04,4e-04,0,6e-04,0,9e-04,0.0017,0.0026,0.0014,0.0045,0.0025,0.0014,0.0027,0.0038,0.0015,0.003,0.0013,0.0047,0.0022,0.0043,0.001,0.0069,4e-04,4e-04,0,0.001,3e-04,0.0011,9e-04,0.0022,6e-04,0.0013,4e-04,0.0021,9e-04,0,0.0014,5e-04,0.0072,0.0034,0.0549,0.0042,0.0039,0.0027,0.0513,0.0041,0.0034,0.0081,0.0434,0.0027,0.0016,0.0042,0.0556,0.0031,6e-04,0.0027,0.0017,0.0028,4e-04,8e-04,0.0022,0.001,6e-04,0.0015,0.0014,0.0014,0.0016,0.0022,0.0037,0.0021,0.0022,0.0034,0.0017,0.0011,0.001,4e-04,0.0067,0.0018,0.0011,0.0013,0.0056,8e-04,8e-04,0.0022,0.0037,2e-04
10,8e-04,8e-04,5e-04,0.0016,6e-04,3e-04,4e-04,0.0015,9e-04,9e-04,2e-04,0.0016,4e-04,0,0.001,4e-04,0.0022,0.0046,3e-04,0.0047,0.0015,0.0016,0.0019,0.0053,0.0029,0.0013,7e-04,0.0037,0.0032,0.0036,0.0054,0.0073,8e-04,0,8e-04,9e-04,9e-04,5e-04,6e-04,9e-04,3e-04,0.0026,4e-04,0.0016,8e-04,0.0012,0.0015,4e-04,0.0067,0.0042,0.0677,0.0041,0.0037,0.0061,0.0515,0.0045,0.004,0.0044,0.0571,0.0048,0.0058,0.0062,0.0611,0.0035,0.0017,0.0017,0.0036,0.0014,0.0012,0.0018,0.0053,0.0012,6e-04,0.0019,0,0.0011,0.0013,0.0025,0.0019,0.0012,8e-04,0.0028,0.0071,3e-04,0.001,0.002,0.0026,6e-04,0.0023,8e-04,0.0032,9e-04,0.0013,0.001,0,0.0023
